sa2_code,sa2_name,area_band,longitude,latitude,population_2025,population_growth_pct_2024_25,stops_per_10000_people,total_stops,access_category
209041437,Wollert,Middle ring,145.005068,-37.590922,36658,9.5,10.09,37,Low
209041527,Doreen - North,Middle ring,145.126848,-37.588178,17283,0.6,31.82,55,Moderate
209041528,Doreen - South,Middle ring,145.121075,-37.611432,11947,1.4,27.62,33,Moderate
209041529,Lalor - East,Middle ring,145.028365,-37.668963,10253,0.9,39.99,41,Moderate
209041530,Lalor - West,Middle ring,144.994623,-37.660576,13925,0.3,29.44,41,Moderate
209041531,Mernda - North,Middle ring,145.085507,-37.584237,12061,0.5,29.02,35,Moderate
209041532,Mernda - South,Middle ring,145.075588,-37.605898,13854,2.8,33.2,46,Moderate
210011226,Airport West,Outer / growth corridor,144.881305,-37.723808,8783,2,64.9,57,High
210011227,Essendon Airport,Outer / growth corridor,144.900415,-37.726894,14,0,3571.43,5,High
210011228,Keilor,Outer / growth corridor,144.844464,-37.718933,8732,0.7,75.58,66,High
210011230,Niddrie - Essendon West,Outer / growth corridor,144.884898,-37.744984,8048,1.9,50.94,41,High
210011231,Strathmore,Outer / growth corridor,144.91368,-37.729916,10536,1,49.35,52,High
210011533,Avondale Heights,Outer / growth corridor,144.862612,-37.761538,12861,0.5,34.99,45,Moderate
210011534,Keilor East,Outer / growth corridor,144.866119,-37.742174,15645,1.2,40.27,63,Moderate
210021232,Gisborne,Outer / growth corridor,144.555206,-37.495476,15959,3.6,47.0,75,High
210021233,Macedon,Outer / growth corridor,144.57326,-37.41192,3615,-0.2,5.53,2,Very low
210021234,Riddells Creek,Outer / growth corridor,144.67771,-37.438244,4589,1.5,8.72,4,Very low
210021235,Romsey,Outer / growth corridor,144.763513,-37.34999,11567,0.9,12.97,15,Low
210031236,Coburg North,Outer / growth corridor,144.967462,-37.726978,8932,0.6,64.94,58,High
210031237,Fawkner,Outer / growth corridor,144.969612,-37.705222,15096,1.3,50.34,76,High
210031439,Gowanbrae,Outer / growth corridor,144.897557,-37.702788,3215,1.3,52.88,17,High
210031440,Hadfield,Outer / growth corridor,144.950304,-37.710095,6650,0.4,49.62,33,High
210031535,Glenroy - East,Outer / growth corridor,144.934959,-37.701934,15762,0.6,41.24,65,Moderate
210031536,Glenroy - West,Outer / growth corridor,144.909668,-37.705085,9563,0.5,24.05,23,Moderate
210031537,Oak Park,Outer / growth corridor,144.917898,-37.719591,8559,1.3,24.54,21,Moderate
210031538,Pascoe Vale,Outer / growth corridor,144.938905,-37.724526,18674,1.7,38.02,71,Moderate
210041240,Sunbury,Outer / growth corridor,144.767583,-37.539426,15364,4.1,42.96,66,Moderate
210041539,Diggers Rest,Outer / growth corridor,144.682482,-37.615983,7434,7,41.7,31,Moderate
210041540,Sunbury - South,Outer / growth corridor,144.737903,-37.613628,17683,5.4,58.25,103,High
210041541,Sunbury - West,Outer / growth corridor,144.672081,-37.538105,11497,1.1,61.76,71,High
210051242,Broadmeadows,Outer / growth corridor,144.929328,-37.684069,14972,1.6,58.78,88,High
