sa2_code,sa2_name,sa3_name,sa4_name,area_band,population_2021,population_2022,population_2023,population_2024,population_2025,population_density_2025,population_growth_pct_2024_25,growth_category,area_km2,train_stops,tram_stops,bus_stops,total_stops,stops_per_10000_people,people_per_stop,dominant_mode,access_category
213031351,West Footscray - Tottenham,Maribyrnong,Melbourne - West,Outer / growth corridor,11881,11960,12548,12883,13007,2174.8,1,Stable,5.9807,2,0,55,57,43.82,228.0,Bus,Moderate
209041220,Mill Park - North,Whittlesea - Wallan,Melbourne - North East,Middle ring,17640,17302,17421,17665,17610,2164.4,-0.3,Decline,8.1362,1,0,105,106,60.19,166.0,Bus,High
214011371,Frankston,Frankston,Mornington Peninsula,Outer / growth corridor,23909,23809,24132,24736,25043,2154.3,1.2,Stable,11.6244,2,0,131,133,53.11,188.0,Bus,High
209021524,Reservoir - North West,Darebin - North,Melbourne - North East,Middle ring,9881,9698,9792,9806,9751,2152.7,-0.6,Decline,4.5297,0,0,67,67,68.71,146.0,Bus,High
213011336,Sunshine,Brimbank,Melbourne - West,Outer / growth corridor,9568,9601,9910,10059,10151,2145.2,0.9,Stable,4.732,1,0,95,96,94.57,106.0,Bus,High
208031185,Carrum - Patterson Lakes,Kingston,Melbourne - Inner South,Inner Melbourne,12115,12159,12330,12414,12478,2142.4,0.5,Stable,5.8242,1,0,56,57,45.68,219.0,Bus,High
211031450,Croydon - East,Maroondah,Melbourne - Outer East,Outer / growth corridor,16236,16196,16570,17141,17345,2141.8,1.2,Stable,8.0982,0,0,75,75,43.24,231.0,Bus,Moderate
209011197,Greensborough,Banyule,Melbourne - North East,Middle ring,20995,20830,20939,21287,21386,2118.0,0.5,Stable,10.0974,1,0,98,99,46.29,216.0,Bus,High
210031439,Gowanbrae,Moreland - North,Melbourne - North West,Outer / growth corridor,3141,3123,3174,3173,3215,2111.7,1.3,Stable,1.5225,0,0,17,17,52.88,189.0,Bus,High
212021553,Berwick - South East,Casey - North,Melbourne - South East,Outer / growth corridor,17986,18357,19128,19954,20765,2101.0,4.1,Growing,9.8836,0,0,67,67,32.27,310.0,Bus,Moderate
212031457,Narre Warren South - East,Casey - South,Melbourne - South East,Outer / growth corridor,13270,13151,13138,12996,13022,2093.4,0.2,Stable,6.2204,0,0,41,41,31.49,318.0,Bus,Moderate
211011447,Ferntree Gully - North,Knox,Melbourne - Outer East,Outer / growth corridor,14247,14228,14373,14500,14538,2081.3,0.3,Stable,6.9851,1,0,61,62,42.65,234.0,Bus,Moderate
211031268,Ringwood North,Maroondah,Melbourne - Outer East,Outer / growth corridor,9723,9651,9683,9777,9839,2079.8,0.6,Stable,4.7307,0,0,56,56,56.92,176.0,Bus,High
213041578,Melton South - Weir Views,Melton - Bacchus Marsh,Melbourne - West,Outer / growth corridor,16926,18660,20128,21641,22821,2070.8,5.5,Growing,11.0206,1,0,45,46,20.16,496.0,Bus,Moderate
213041575,Hillside,Melton - Bacchus Marsh,Melbourne - West,Outer / growth corridor,16346,16220,16127,16093,16173,2069.1,0.5,Stable,7.8166,0,0,45,45,27.82,359.0,Bus,Moderate
210051441,Craigieburn - Central,Tullamarine - Broadmeadows,Melbourne - North West,Outer / growth corridor,8190,7965,8107,8170,8172,2059.2,0,Stable,3.9685,0,0,23,23,28.14,355.0,Bus,Moderate
210051443,Craigieburn - South,Tullamarine - Broadmeadows,Melbourne - North West,Outer / growth corridor,22007,22533,23418,23994,24431,2050.6,1.8,Stable,11.9142,1,0,73,74,30.29,330.0,Bus,Moderate
206041124,Parkville,Melbourne City,Melbourne - Inner,Inner Melbourne,7428,7398,7937,8184,8280,2044.9,1.2,Stable,4.0491,1,26,25,52,62.8,159.0,Tram,High
212051327,Wheelers Hill,Monash,Melbourne - South East,Outer / growth corridor,20854,20667,20950,21236,21281,2038.5,0.2,Stable,10.4394,0,0,105,105,49.34,203.0,Bus,High
212041316,Noble Park North,Dandenong,Melbourne - South East,Outer / growth corridor,7518,7450,7573,7622,7593,2020.8,-0.4,Decline,3.7574,0,0,45,45,59.27,169.0,Bus,High
211031266,Ringwood,Maroondah,Melbourne - Outer East,Outer / growth corridor,18919,18962,19297,19593,19779,1995.8,0.9,Stable,9.9105,2,0,112,114,57.64,174.0,Bus,High
212031555,Clyde North - North,Casey - South,Melbourne - South East,Outer / growth corridor,10652,11675,12490,13108,13667,1985.5,4.3,Growing,6.8833,0,0,26,26,19.02,526.0,Bus,Low
211041273,Vermont South,Whitehorse - East,Melbourne - Outer East,Outer / growth corridor,12042,12027,12161,12237,12250,1980.9,0.1,Stable,6.184,0,5,46,51,41.63,240.0,Bus,Moderate
212031304,Cranbourne West,Casey - South,Melbourne - South East,Outer / growth corridor,21853,22935,23770,24843,25490,1976.3,2.6,Growing,12.898,0,0,48,48,18.83,531.0,Bus,Low
212051325,Mulgrave,Monash,Melbourne - South East,Outer / growth corridor,20072,20212,20666,20938,21072,1965.9,0.6,Stable,10.7189,0,0,110,110,52.2,192.0,Bus,High
211051281,Mooroolbark,Yarra Ranges,Melbourne - Outer East,Outer / growth corridor,23442,23579,23948,24206,24395,1944.8,0.8,Stable,12.5434,1,0,44,45,18.45,542.0,Bus,Low
211031265,Croydon Hills - Warranwood,Maroondah,Melbourne - Outer East,Outer / growth corridor,18232,18141,18303,18352,18457,1944.5,0.6,Stable,9.492,0,0,70,70,37.93,264.0,Bus,Moderate
212041310,Clayton South,Dandenong,Melbourne - South East,Outer / growth corridor,13562,13923,14714,15085,15349,1933.6,1.8,Stable,7.938,1,0,68,69,44.95,222.0,Bus,Moderate
211011256,Rowville - Central,Knox,Melbourne - Outer East,Outer / growth corridor,15540,15442,15677,15692,15771,1923.2,0.5,Stable,8.2003,0,0,75,75,47.56,210.0,Bus,High
209011201,Ivanhoe East - Eaglemont,Banyule,Melbourne - North East,Middle ring,7799,7791,7955,8069,8169,1910.0,1.2,Stable,4.2769,1,0,24,25,30.6,327.0,Bus,Moderate
