path_id,sa2_code,sa2_name,access_category,growth,point_order,longitude,latitude
206041505-0,206041505,Melbourne CBD - West,Moderate,3.9,2,144.96745,-37.81744
206041505-0,206041505,Melbourne CBD - West,Moderate,3.9,3,144.9589,-37.81103
206041505-0,206041505,Melbourne CBD - West,Moderate,3.9,4,144.95235,-37.81512
206041505-0,206041505,Melbourne CBD - West,Moderate,3.9,5,144.9528,-37.8161
206041506-0,206041506,North Melbourne,Moderate,1.1,0,144.93585,-37.79507
206041506-0,206041506,North Melbourne,Moderate,1.1,1,144.93591,-37.80227
206041506-0,206041506,North Melbourne,Moderate,1.1,2,144.94264,-37.80731
206041506-0,206041506,North Melbourne,Moderate,1.1,3,144.94323,-37.80447
206041506-0,206041506,North Melbourne,Moderate,1.1,4,144.95951,-37.80628
206041506-0,206041506,North Melbourne,Moderate,1.1,5,144.95733,-37.80154
206041506-0,206041506,North Melbourne,Moderate,1.1,6,144.94037,-37.78761
206041506-0,206041506,North Melbourne,Moderate,1.1,7,144.93569,-37.79506
206041506-0,206041506,North Melbourne,Moderate,1.1,8,144.93585,-37.79507
206041507-0,206041507,Royal Botanic Gardens Victoria,Very low,0,0,144.97665,-37.82318
206041507-0,206041507,Royal Botanic Gardens Victoria,Very low,0,1,144.96844,-37.81961
206041507-0,206041507,Royal Botanic Gardens Victoria,Very low,0,2,144.97226,-37.8328
206041507-0,206041507,Royal Botanic Gardens Victoria,Very low,0,3,144.98368,-37.83428
206041507-0,206041507,Royal Botanic Gardens Victoria,Very low,0,4,144.98486,-37.82833
206041507-0,206041507,Royal Botanic Gardens Victoria,Very low,0,5,144.98785,-37.83062
206041507-0,206041507,Royal Botanic Gardens Victoria,Very low,0,6,144.97743,-37.82328
206041507-0,206041507,Royal Botanic Gardens Victoria,Very low,0,7,144.97665,-37.82318
206041508-0,206041508,Southbank (West) - South Wharf,Low,4.4,0,144.96478,-37.8197
206041508-0,206041508,Southbank (West) - South Wharf,Low,4.4,1,144.9416,-37.82516
206041508-0,206041508,Southbank (West) - South Wharf,Low,4.4,2,144.95719,-37.8284
206041508-0,206041508,Southbank (West) - South Wharf,Low,4.4,3,144.96894,-37.82071
206041508-0,206041508,Southbank (West) - South Wharf,Low,4.4,4,144.96539,-37.8196
206041508-0,206041508,Southbank (West) - South Wharf,Low,4.4,5,144.96478,-37.8197
206041509-0,206041509,Southbank - East,Low,1.4,0,144.96589,-37.8218
206041509-0,206041509,Southbank - East,Low,1.4,1,144.95719,-37.8284
